vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
STI,group,Since Time Immemorial (Tribal Sovereignty),,,,,active,,,,,,,,,,
STI-BIG5,group,"The Big Five, by the end of middle school",,,,,active,STI,,,,,,,,,
STI-EQ,group,The Five Essential Questions,,,,,active,STI,,,,,,,,,
STI.MS.1,outcome,STI.MS.1,"Understand that, according to the U.S. Constitution, treaties are ""the supreme law of the land""; consequently treaty rights supersede most state laws.",Understanding why treaty rights outrank state law,highest,,active,STI-BIG5,3,4,"Exemplary — You explain why treaties outrank most state laws, and use a court case to show what that means today.",3,"Proficient — You explain that treaties are the supreme law of the land, so treaty rights come before most state laws.",2,Progressing — You say treaties are important without explaining where their power comes from.,1,Beginning — You can name treaty rights without knowing what backs them yet.
STI.MS.2,outcome,STI.MS.2,"Understand that Tribal sovereignty has cultural, political, and economic bases.",Explaining what tribal sovereignty rests on,highest,,active,STI-BIG5,3,4,"Exemplary — You explain the cultural, political, and economic sides of sovereignty, and how they hold each other up.",3,"Proficient — You explain that tribal sovereignty has cultural, political, and economic bases, with an example of each.",2,Progressing — You define sovereignty but explain only one of the things it rests on.,1,Beginning — You can use the word sovereignty without explaining what it rests on yet.
STI.MS.3,outcome,STI.MS.3,"Understand that Tribes are subject to federal law and taxes, as well as some state regulations.",Explaining which laws reach tribal nations,highest,,active,STI-BIG5,3,4,"Exemplary — You explain which laws reach tribal nations and which do not, and use an example to show where the line falls.",3,"Proficient — You explain that tribal nations are subject to federal law and taxes, and to some state regulations.",2,Progressing — You say tribal nations have their own laws without explaining what else applies.,1,Beginning — You can name tribal governments without knowing which laws reach them yet.
STI.MS.4,outcome,STI.MS.4,Understand that Tribal sovereignty is ever-evolving and therefore levels of sovereignty and status vary from Tribe to Tribe.,Recognizing that sovereignty differs from nation to nation,highest,,active,STI-BIG5,3,4,"Exemplary — You explain how sovereignty differs between tribal nations, and what has changed it over time.",3,"Proficient — You explain that tribal sovereignty keeps changing, and that its level varies from nation to nation.",2,Progressing — You treat all tribal nations as having the same status.,1,Beginning — You can name tribal nations without comparing their status yet.
STI.MS.5,outcome,STI.MS.5,Understand that there were and are frequent and continued threats to Tribal sovereignty that are mostly addressed through the courts.,Tracing how tribal nations defend sovereignty in court,highest,,active,STI-BIG5,3,4,"Exemplary — You trace a threat to sovereignty through the courts, and explain what the ruling changed.",3,"Proficient — You explain that threats to tribal sovereignty continue, and that they are mostly answered in court.",2,Progressing — You name a threat to sovereignty without explaining how it was answered.,1,Beginning — You can say sovereignty is challenged without examples yet.
STI.EQ.1,outcome,STI.EQ.1,"How does the physical geography affect Northwest Tribes' culture, economy, and where they choose to settle and trade?",Investigating how geography shapes Northwest tribal life,highest,,active,STI-EQ,3,4,"Exemplary — You explain how geography shaped culture, economy, and trade together for a specific tribal nation.",3,"Proficient — You explain how the physical geography of a place shaped a tribal nation's culture, economy, and trade.",2,"Progressing — You describe the land or the culture, but you don't connect them.",1,Beginning — You can locate tribal homelands without explaining what the land made possible yet.
STI.EQ.2,outcome,STI.EQ.2,What is the legal status of the Tribes who negotiated or who did not enter into United States treaties?,Comparing the legal status of tribal nations,highest,,active,STI-EQ,3,4,"Exemplary — You compare the status of nations that entered treaties and those that did not, and explain what follows from each.",3,Proficient — You explain how a tribal nation’s legal status depends on whether it entered a treaty with the United States.,2,Progressing — You say some nations signed treaties without explaining what that changed.,1,Beginning — You can name treaties without connecting them to legal status yet.
STI.EQ.3,outcome,STI.EQ.3,"What were the political, economic, and cultural forces that led to the treaties?",Explaining what forced the treaties,highest,,active,STI-EQ,3,4,"Exemplary — You explain the political, economic, and cultural pressures behind a treaty, and which pressed hardest.",3,"Proficient — You explain the political, economic, and cultural forces that led to a treaty.",2,Progressing — You name one reason for a treaty without the others.,1,Beginning — You can say treaties happened without explaining why yet.
STI.EQ.4,outcome,STI.EQ.4,What are the ways in which Tribes respond to the threats and outside pressure to extinguish their cultures and independence?,Explaining how tribal nations protect their ways of life,highest,,active,STI-EQ,3,4,"Exemplary — You explain several ways a nation protected its culture and independence, and what each one cost or won.",3,Proficient — You explain ways tribal nations have responded to pressure to give up their cultures and independence.,2,Progressing — You name a threat without explaining how the nation responded.,1,Beginning — You can say cultures were threatened without examples of how nations answered yet.
STI.EQ.5,outcome,STI.EQ.5,"What do local Tribes do to meet the challenges of reservation life; and, as sovereign nations, to meet the economic and cultural needs of their Tribal communities?",Explaining how tribal nations meet their communities’ needs today,highest,,active,STI-EQ,3,4,"Exemplary — You explain how a nation meets economic and cultural needs today, and connect that work to its sovereignty.",3,Proficient — You explain what a tribal nation does today to meet the economic and cultural needs of its community.,2,Progressing — You describe reservation life without what the nation is doing about it.,1,Beginning — You can name a reservation without knowing what its government does yet.
