vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
WA-SS-CIVICS,group,Civics,,,,,active,,,,,,,,,,
C1,group,"C1: Understands key ideals and principles of the United States, including those in the Declaration of Independence, Constitution, and other foundational documents.",,,,,active,WA-SS-CIVICS,,,,,,,,,
C1.6-8.2,outcome,C1.6-8.2,"Explain the structure of and key ideals set forth in fundamental documents, including the Washington state constitution and tribal treaties with the United States government.",Explaining Washington's founding documents,highest,,active,C1,3,4,"Exemplary — You explain what the state constitution and the treaties each set up, and how their ideals compare.",3,Proficient — You explain how the Washington constitution and tribal treaties are built and what ideals they set out.,2,Progressing — You name parts of these documents but explain only some of what they promise.,1,Beginning — You can name the documents without saying what's in them yet.
C2,group,"C2: Understands the purposes, organization, and function of governments, laws, and political systems.",,,,,active,WA-SS-CIVICS,,,,,,,,,
C2.6-8.2,outcome,C2.6-8.2,"Distinguish the structure, organization, powers, and limits of government at the local, state, and tribal levels.","Telling local, state, and tribal governments apart",highest,,active,C2,3,4,Exemplary — You tell the three levels apart and explain where their powers overlap or collide.,3,"Proficient — You explain how local, state, and tribal governments are organized, and what each one can and cannot do.",2,Progressing — You describe one level of government clearly but blur the others.,1,Beginning — You can name levels of government without their powers yet.
C3,group,C3: Understands the purposes and organization of tribal and international relationships and U.S. foreign policy.,,,,,active,WA-SS-CIVICS,,,,,,,,,
C3.6-8.2,outcome,C3.6-8.2,Analyze how international agreements have affected Washington state.,Analyzing how global agreements reach Washington,highest,,active,C3,3,4,"Exemplary — You analyze how an international agreement changed life in Washington, and who felt it most.",3,Proficient — You analyze how an international agreement has affected Washington state.,2,Progressing — You describe an agreement without tracing its effect on Washington.,1,Beginning — You can name agreements without connecting them to the state yet.
C3.6-8.3,outcome,C3.6-8.3,"Recognize that, according to the United States Constitution, treaties are “the supreme law of the land;” consequently, treaty rights supersede most state laws.",Understanding why treaty rights outrank state law,highest,,active,C3,3,4,"Exemplary — You explain why treaties outrank most state laws, and use a real case to show what that means today.",3,"Proficient — You explain that treaties are the supreme law of the land, so treaty rights come before most state laws.",2,Progressing — You say treaties are important without explaining where their power comes from.,1,Beginning — You can name treaty rights without knowing what backs them yet.
C3.6-8.4,outcome,C3.6-8.4,Explain elements of the agreements contained in one or more treaty agreements between Washington tribes and the United States.,Explaining what treaties say,highest,,active,C3,3,4,"Exemplary — You explain what a treaty promised on both sides, and what happened to those promises afterward.",3,Proficient — You explain the main agreements in a treaty between a Washington tribe and the United States.,2,"Progressing — You name a treaty and some of what it covered, but the terms stay vague.",1,Beginning — You can name treaties without explaining what they agreed to yet.
C4,group,C4: Understands civic involvement.,,,,,active,WA-SS-CIVICS,,,,,,,,,
