vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
WA-SS-CIVICS,group,Civics,,,,,active,,,,,,,,,,
C1,group,"C1: Understands key ideals and principles of the United States, including those in the Declaration of Independence, Constitution, and other foundational documents.",,,,,active,WA-SS-CIVICS,,,,,,,,,
C1.6-8.3,outcome,C1.6-8.3,"Explain key ideals and principles outlined in the Declaration of Independence, including life, liberty, and the pursuit of happiness; the U.S. Constitution, including the rule of law, separation of powers, representative government, and popular sovereignty; and, the Bill of Rights, including due process and freedom of expression.",Explaining America's founding ideals,highest,,active,C1,3,4,Exemplary — You explain what the founding ideals mean and show how they connect to each other.,3,"Proficient — You explain what key ideals like liberty, rule of law, and due process mean, using the documents.",2,"Progressing — You name founding ideals but explain only some of them, or mix them up.",1,Beginning — You can list words from the documents but not say what they mean yet.
C1.6-8.4,outcome,C1.6-8.4,Evaluate efforts to reduce discrepancies between key ideals and reality in the United States.,Judging how far America has closed the gap between promise and reality,highest,,active,C1,3,4,"Exemplary — You judge how much an effort closed the gap between an ideal and real life, and weigh what it did and didn't fix.",3,"Proficient — You judge how well an effort closed the gap between an American ideal and real life, using evidence.",2,"Progressing — You describe an effort and the gap, but you don't judge how well it worked.",1,Beginning — You name an ideal or a problem without connecting the two yet.
C2,group,"C2: Understands the purposes, organization, and function of governments, laws, and political systems.",,,,,active,WA-SS-CIVICS,,,,,,,,,
C2.6-8.3,outcome,C2.6-8.3,Analyze the structure and powers of government at the national level.,Analyzing how the national government is built,highest,,active,C2,3,4,"Exemplary — You analyze how the branches are built and powered, and explain how their powers depend on each other.",3,Proficient — You analyze the structure of the national government and what powers each part holds.,2,"Progressing — You name the branches and some powers, but the analysis stays general.",1,Beginning — You can name parts of the government but not what they do yet.
C2.6-8.4,outcome,C2.6-8.4,Use knowledge of the function of government to analyze and address a political issue.,Using how government works to tackle an issue,highest,,active,C2,3,4,"Exemplary — You analyze an issue using how government works, and propose a step that fits the part of government that can actually act.",3,Proficient — You use what you know about how government works to analyze a political issue and suggest a response.,2,"Progressing — You describe the issue, but you don't connect it to how government works.",1,Beginning — You state an opinion on the issue without using how government works yet.
C2.6-8.5,outcome,C2.6-8.5,Evaluate the effectiveness of the system of checks and balances in the United States based on an event.,Judging whether checks and balances worked,highest,,active,C2,3,4,"Exemplary — You judge how well checks and balances worked in an event, and weigh more than one view of the result.",3,"Proficient — You judge how well checks and balances worked in a real event, using evidence from it.",2,"Progressing — You describe the event and name a check, but you don't judge how well it worked.",1,Beginning — You can name checks and balances but not apply them to an event yet.
C2.6-8.6,outcome,C2.6-8.6,Demonstrate that the U.S. government includes concepts of both a democracy and a republic.,Showing the U.S. is both a democracy and a republic,highest,,active,C2,3,4,"Exemplary — You show where the government is democratic and where it is a republic, and explain why it was built with both.",3,"Proficient — You show, with examples, how the U.S. government works as both a democracy and a republic.",2,Progressing — You define the terms but give examples for only one of them.,1,Beginning — You can name the terms but not show them in the government yet.
C3,group,C3: Understands the purposes and organization of tribal and international relationships and U.S. foreign policy.,,,,,active,WA-SS-CIVICS,,,,,,,,,
